LMID,LMName
12,Kotak Mahindra Capital Company Limited
13,UBS Securities India Private Limited
14,ABN AMRO Securities (India) Private Limited
15,Deutsche Equities India Private Limited
16,Enam Securities Private Limited
17,ICICI Securities Limited
18,JM Financial Consultants Private Limited
19,J.P. Morgan India Private Limited
20,Macquarie India Advisory Services Private Limited
21,SBI Capital Markets Limited
22,BoA Merrill Lynch
23,Citigroup Global Markets India Private Limited
24,Keynote Corporate Services Ltd
25,Almondz Global Securities Limited
26,Saffron Capital Advisors Private Limited
27,AllBank Finance Ltd
28,Motilal Oswal Investments Advisors Pvt Ltd
29,SPA Capital Advisors Ltd
30,IDFC-SSKI Private Limited
31,Morgan Stanley India Company Pvt Ltd
32,Edelweiss Capital Limited
33,Ashika Capital Ltd
34,Anand Rathi Securities Limited
35,Intensive Fiscal Services Private Limited
36,SREI Capital Markets Ltd
37,Centrum Capital Limited
38,SSKI Corporate Finance Pvt Ltd
39,Macquarie India Advisory Services Pvt Ltd
40,IL&Fs Investsmart Securities Ltd
41,Religare Securities Ltd
42,Axis Bank Limited
43,Collins Stewart Inga Private Limited
44,UTI Securities Ltd
45,NEXGEN Capitals Ltd
47,IDBI Capital Market Services Limited
48,BOB Capital Markets Limited
49,Chartered Capital and Investment Limited
51,Karvy Investor Services Limited
52,CIL Securities Limited
53,Khandwala Securities Limited
54,Allianz Securities Limited
55,Fortune Financial Services (India) Limited
58,"YES Bank Limited,"
60,RR Financial Consultants Limited
61,Systematix Corporate Services Limited
62,Vivro Financial Services Private Limited
65,JM Morgan Stanley Private Limited
66,A.K. Capital Services Limited
68,PL Capital Markets Private Limited
69,HSBC Securities & Capital Markets Pvt Ltd
70,Antique Capital Markets Pvt Ltd
71,India Infoline Limited
72,Nomura Financial Advisory And Securities (India) P
73,Comfort Securities Pvt Ltd
74,Atherstone Capital Markets Limited
75,Goldman Sachs (India) Securities Private Limited
76,Hem Securities Limited
77,Aryaman Financial Services limited
78,RBS Equities (India) Ltd
79,Standard Chartered Securities (India) Limited
80,Indbank Merchant Banking Services Limited
81,D and A Financial Services Private Ltd
82,HDFC Bank Limited
83,Onelife Capital Advisors Pvt Ltd
84,Avendus Capital Pvt Ltd
85,Indian Overseas Bank
86,Arihant Capital Markets Ltd
88,Corporate Strategic Allianz Ltd
89,PNB Investment Services Ltd
90,VC Corporate Advisors Pvt Ltd (VCAPL)
92,Inventure Merchant Banker Services Pvt Ltd
93,Barclays Securities (India) Private Limited
94,Guiness Corporate Advisors Pvt Ltd
95,Anand Rathi Advisors Ltd
96,Sarthi Capital Advisors Pvt Limited
97,KJMC Corporate Advisors (India) Limited
98,Canara Bank Merchant Banking Division
101,Basan Financial Services Limited
102,Networth Stock Broking Ltd
104,Sarthi Capital Advisors Private Limited
106,Unicon Capital Services Private Ltd
107,PANTOMATH CAPITAL ADVISORS PRIVATE LIMITED
110,First Overseas Capital Limited
111,Credit Suisse Securities (India) Private Limited
112,Jefferies India Private Limited
113,Axis Capital Limited
114,IDFC Securities Limited
115,Quintessence Enterprises Private Limited
116,Choice Capital Advisors Pvt Ltd
117,Elara Capital (India) Private
